,3M_Rate,10Y_2Y_Curve,5y5y_Forward,Core_PCE,NFP,UnEmp,Hstarts,IP,ISM,Mich_Sent,Mich_Inf,CPI
1980-08-01,9.13,0.5742857142857142,11.364761904761906,0.00723895875987135,259.0,7.7,1436.0,0.0035918648465749214,45.5,67.3,7.6,0.006188118811881083
1980-09-01,10.27,-0.06619047619047617,11.399047619047618,0.00941318814277059,114.0,7.5,1471.0,0.016219257225848827,50.1,73.7,9.1,0.009840098400983877
1980-10-01,11.62,-0.3368181818181818,11.641363636363637,0.00824663182624552,277.0,7.5,1523.0,0.012617150844349778,55.5,75.0,9.6,0.010962241169305775
1980-11-01,13.73,-0.8294117647058823,12.534705882352942,0.007870084169480318,257.0,7.5,1510.0,0.017262069781102785,58.2,76.7,8.6,0.010843373493975905
1980-12-01,15.49,-1.2327272727272727,12.44090909090909,0.006015711623298392,196.0,7.2,1482.0,0.0056563823927946455,53.0,64.5,9.7,0.011918951132300348
1981-01-01,15.02,-0.6938095238095239,12.366666666666665,0.00865303442453813,90.0,7.5,1547.0,-0.005717426115959379,49.2,71.4,9.5,0.005889281507656108
1981-02-01,14.79,-0.7244444444444446,12.976666666666667,0.00732336735405581,72.0,7.4,1246.0,-0.004589569022696249,48.8,66.9,8.6,0.005854800936768045
1981-03-01,13.36,-0.4527272727272727,12.82363636363636,0.005539143279172709,105.0,7.4,1306.0,0.005294297859303798,49.6,66.5,7.2,0.005820721769499437
1981-04-01,13.69,-0.47190476190476194,13.36809523809524,0.0064037825927287795,73.0,7.2,1360.0,-0.004445502595114448,51.6,72.4,8.0,0.00694444444444442
1981-05-01,16.3,-1.3575000000000002,13.574000000000003,0.006864779802495002,13.0,7.5,1140.0,0.005953804446604094,53.5,76.3,7.3,0.009195402298850519
1981-06-01,14.73,-1.0336363636363637,12.991363636363639,0.00500588928150747,194.0,7.5,1045.0,0.004718497231853025,50.7,73.1,7.1,0.009111617312072884
1981-07-01,14.95,-1.0731818181818185,13.771818181818183,0.00601771507133364,111.0,7.2,1041.0,0.006562757910517858,46.7,74.1,6.8,0.013544018058690765
1981-08-01,15.51,-1.3476190476190475,14.310476190476187,0.006721032350569089,-36.0,7.4,940.0,-0.0001354017199779456,48.3,77.2,5.8,0.010022271714922093
1981-09-01,14.7,-1.133809523809524,14.717619047619047,0.006542638419084756,-88.0,7.6,911.0,-0.005952839965468026,42.5,73.1,6.9,0.012127894156560126
1981-10-01,13.54,-0.3947619047619048,14.889523809523812,0.005947380057484075,-97.0,7.9,873.0,-0.006745327465308315,40.0,70.3,6.7,0.0032679738562091387
1981-11-01,10.86,0.5111111111111111,13.409999999999997,0.0058462823358755855,-209.0,8.3,837.0,-0.011446826263122767,36.1,62.5,7.3,0.004343105320304019
1981-12-01,10.85,0.43409090909090914,13.848636363636361,0.003692778324046797,-276.0,8.5,910.0,-0.010918410606235773,37.8,64.3,5.3,0.00540540540540535
1982-01-01,12.28,0.025999999999999975,14.542499999999999,0.006139243262071714,-330.0,8.6,843.0,-0.01993282340426361,38.2,71.0,5.1,0.003225806451612856
1982-02-01,13.48,-0.39777777777777784,14.310555555555558,0.003873117535052817,-2.0,8.9,866.0,0.019825342962728865,38.3,66.5,5.2,0.005359056806002238
1982-03-01,12.68,-0.33304347826086955,13.745217391304347,0.0043539174480007325,-129.0,9.0,931.0,-0.007625493162006558,36.8,62.0,4.2,0.0010660980810235365
1982-04-01,12.7,-0.3304761904761905,13.74,0.0039487520655836494,-284.0,9.3,917.0,-0.008793881014488303,37.8,65.5,4.7,0.008519701810436597
1982-05-01,12.09,-0.15450000000000003,13.491,0.005472307133237875,-43.0,9.4,1025.0,-0.006434455548355533,35.5,67.5,3.5,0.007391763463569179
1982-06-01,12.47,-0.16590909090909095,14.172727272727274,0.005017326785296872,-242.0,9.6,902.0,-0.003366707886233944,38.3,65.7,4.6,0.007337526205450695
1982-07-01,11.35,0.14904761904761904,13.825238095238095,0.0064730395786176675,-344.0,9.8,1166.0,-0.003109915708076172,38.4,65.4,5.0,0.00624349635796051
1982-08-01,8.68,0.7313636363636363,13.111818181818187,0.004602871014523169,-158.0,9.8,1046.0,-0.00876263204172345,38.3,65.4,4.8,0.004136504653567741
1982-09-01,7.92,0.5557142857142857,12.429999999999998,0.0037030838110381215,-180.0,10.1,1144.0,-0.0030641610618644677,38.8,69.3,4.5,0.001029866117404854
1982-10-01,7.71,0.7190000000000001,11.013499999999999,0.006336633663366342,-276.0,10.4,1173.0,-0.008909925649047246,39.4,73.4,4.7,0.0030864197530864335
1982-11-01,8.07,0.7547368421052633,10.719473684210527,0.0037076161478073466,-121.0,10.8,1372.0,-0.004005132472728601,39.2,72.1,4.5,-0.002051282051282133
1982-12-01,7.94,0.8777272727272728,10.857727272727272,0.003178009822939476,-15.0,10.8,1303.0,-0.007194599934145396,42.8,71.9,3.7,-0.0010277492291880241
1983-01-01,7.86,1.1295238095238094,10.888571428571428,0.006850160454208831,219.0,10.4,1586.0,0.01935641676201838,46.0,70.4,2.8,0.00411522633744843
1983-02-01,8.11,1.0884210526315792,11.192105263157895,0.0036980283992236185,-73.0,10.4,1699.0,-0.006250991333205946,54.4,74.6,3.0,0.004098360655737654
1983-03-01,8.35,0.8504347826086956,10.929565217391303,0.0012620608231894703,173.0,10.3,1606.0,0.008115607504174394,53.9,80.8,1.8,0.0020408163265306367
1983-04-01,8.21,0.8320000000000002,10.7785,0.003029194112385225,274.0,10.2,1472.0,0.012221559146987637,54.2,89.1,3.4,0.004073319755600657
1983-05-01,8.19,0.8909523809523808,10.725714285714286,0.0014390822303746997,280.0,10.1,1776.0,0.00683611570662257,56.1,93.3,3.2,0.0030425963488844854
1983-06-01,8.79,0.6668181818181819,11.069090909090907,0.004675356217616722,377.0,10.1,1733.0,0.005985054293703884,57.5,92.2,3.2,0.0030333670374114163
1983-07-01,9.08,0.6920000000000002,11.544999999999998,0.0067285803501278,416.0,9.4,1785.0,0.015133966489074169,63.6,92.8,3.2,0.006048387096774244
1983-08-01,9.34,0.7756521739130434,12.06608695652174,0.00516278790546898,-308.0,9.5,1910.0,0.011157854087800123,63.1,90.9,3.3,0.0030060120240480437
1983-09-01,9.0,0.8638095238095237,11.877619047619051,0.004041329059743859,1118.0,9.2,1710.0,0.015139240896974382,62.5,89.9,3.3,0.003996003996004083
1983-10-01,8.64,0.97,11.804,0.0017646825554191725,273.0,8.8,1715.0,0.0083146020448297,64.4,89.3,3.7,0.004975124378109541
1983-11-01,8.76,1.0257894736842104,11.971052631578948,0.002335569938443749,355.0,8.5,1785.0,0.0034955217749335077,66.0,91.1,3.5,0.004950495049504955
1983-12-01,9.0,0.9928571428571428,12.114285714285714,0.0007503801267747523,355.0,8.3,1688.0,0.005274780577390503,69.9,94.2,3.5,0.002955665024630516
1984-01-01,8.9,1.0319047619047619,11.979999999999999,0.003334714576057163,443.0,8.0,1897.0,0.01992180714046876,60.5,100.1,3.2,0.006876227897838927
1984-02-01,9.09,1.0568421052631582,12.14578947368421,0.006293266205160464,484.0,7.8,2260.0,0.004289314442279313,61.3,97.4,3.3,0.0029268292682926855
1984-03-01,9.52,1.0045454545454546,12.616818181818179,0.0037914321450907007,272.0,7.8,1663.0,0.004927509802133745,58.9,101.0,3.4,0.0038910505836575737
1984-04-01,9.69,0.9474999999999998,12.895500000000002,0.004711654530586751,363.0,7.7,1851.0,0.006282528690577216,61.0,96.1,3.9,0.004844961240310086
1984-05-01,9.83,0.9386363636363636,13.644545454545453,0.002325401131695104,306.0,7.4,1774.0,0.004737481830936696,58.6,98.1,4.2,0.0038572806171648377
1984-06-01,9.87,0.6561904761904762,13.649047619047618,0.0023393395715722853,381.0,7.2,1843.0,0.0034892424000385613,58.1,95.5,4.2,0.003842459173871271
1984-07-01,10.12,0.4847619047619047,13.450000000000003,0.004320570932587531,310.0,7.5,1732.0,0.0031426348408560845,56.1,96.6,3.4,0.004784688995215225
1984-08-01,10.47,0.2817391304347826,12.747391304347826,0.003303309070656235,243.0,7.5,1586.0,0.0009521398183445218,53.0,99.1,3.0,0.003809523809523929
1984-09-01,10.37,0.31789473684210534,12.513157894736842,0.0015313642541299188,312.0,7.3,1698.0,-0.0017706492618138059,50.0,100.9,3.0,0.003795066413662118
1984-10-01,9.74,0.5604545454545454,12.259999999999998,0.0022361957913650254,285.0,7.4,1590.0,-0.0016470907345347285,50.8,96.3,3.5,0.003780718336483968
1984-11-01,8.61,0.9236842105263157,11.82,0.0021167855372057343,353.0,7.2,1689.0,0.003946669907893163,50.3,95.7,3.4,0.0018832391713747842
1984-12-01,8.06,1.318,11.9295,0.003958210432168041,125.0,7.3,1612.0,0.001119880641020421,50.6,92.9,3.3,0.003759398496240518
1985-01-01,7.76,1.4533333333333336,11.836190476190476,0.005610629869022166,265.0,7.3,1711.0,-0.0015970236316814601,50.3,96.0,2.9,0.002808988764045006
1985-02-01,8.27,1.3433333333333333,11.886666666666665,0.005183495749533584,131.0,7.2,1632.0,0.003428939896472638,49.9,93.7,3.1,0.0056022408963585235
1985-03-01,8.52,1.1423809523809523,12.19,0.003506600660065917,339.0,7.2,1800.0,0.0016136390667522704,47.8,93.7,3.0,0.003714020427112219
1985-04-01,7.95,1.3457142857142859,11.862857142857141,0.0011959263757825855,196.0,7.3,1821.0,-0.0027276014121850878,48.2,94.6,3.3,0.0027752081406107187
1985-05-01,7.48,1.4527272727272726,11.357727272727272,0.003452845331193277,274.0,7.2,1680.0,0.0014128485692908033,47.1,91.8,3.2,0.0036900369003689537
1985-06-01,6.95,1.468,10.713000000000001,0.0032921657614761735,147.0,7.4,1676.0,0.0007329348628541954,47.8,96.5,3.4,0.0027573529411764053
1985-07-01,7.08,1.5336363636363637,10.913636363636364,0.0029291262675885665,189.0,7.4,1684.0,-0.006502914518683123,47.9,94.0,2.8,0.002749770852429112
1985-08-01,7.14,1.388181818181818,10.854090909090909,0.00489842695798437,192.0,7.1,1743.0,0.004142911711891628,47.7,92.4,2.8,0.003656307129798808
1985-09-01,7.1,1.3900000000000001,10.936315789473682,0.0020785814141710546,205.0,7.1,1676.0,0.004316022433362043,49.9,92.1,2.9,0.0018214936247722413
1985-10-01,7.16,1.372272727272727,10.784999999999998,0.00159700424032172,188.0,7.1,1834.0,-0.00413286771460375,50.9,88.4,3.3,0.00454545454545463
1985-11-01,7.24,1.2005263157894737,10.287894736842107,0.002455831683894072,210.0,7.0,1698.0,0.0033786665908348557,52.0,90.9,3.1,0.005429864253393646
1985-12-01,7.1,1.1123809523809522,9.789523809523809,0.0027240484112764918,166.0,7.0,1942.0,0.010466761963974669,50.7,93.9,3.5,0.0027002700270029045
1986-01-01,7.07,1.0514285714285714,9.704285714285714,0.005396831184932616,123.0,6.7,1972.0,0.004638378285517941,51.2,95.6,2.9,0.004488330341113178
1986-02-01,7.06,0.7368421052631579,9.07263157894737,0.002593257530420834,115.0,7.2,1848.0,-0.006560763840419925,51.0,95.9,2.8,0.002680965147453085
1986-03-01,6.56,0.5639999999999998,8.096999999999998,0.00303874398581927,87.0,7.2,1876.0,-0.006892142535971146,51.0,95.1,2.3,0.002673796791443861
