 Date,Close
2003-07-18,4079.57
2003-07-21,4072.85
2003-07-22,3950.28
2003-07-23,3976.48
2003-07-24,4004.97
2003-07-25,4009.47
2003-07-28,4011.99
2003-07-29,4016.37
2003-07-30,4043.69
2003-07-31,4049.07
2003-08-01,4199.55
2003-08-04,4144.73
2003-08-05,4176.4
2003-08-06,4158.54
2003-08-07,4237.61
2003-08-08,4212.65
2003-08-11,4205.42
2003-08-12,4220.84
2003-08-13,4151.16
2003-08-14,4142.15
2003-08-15,4137.35
2003-08-18,4149.33
2003-08-19,4134.18
2003-08-20,4186.3
2003-08-21,4264.33
2003-08-22,4273.77
2003-08-25,4231.75
2003-08-26,4244.63
2003-08-27,4181.75
2003-08-28,4205.73
2003-08-29,4214.53
2003-09-01,4214.53
2003-09-02,4036.22
2003-09-03,4053.61
2003-09-04,4035.96
2003-09-05,4026.32
2003-09-08,4021.44
2003-09-09,4049.26
2003-09-10,4081.72
2003-09-11,4028.92
2003-09-12,3983.81
2003-09-15,3971.6
2003-09-16,3915.56
2003-09-17,3870.38
2003-09-18,3853.54
2003-09-19,3844.4
2003-09-22,3865.3
2003-09-23,3862.94
2003-09-24,3963.06
2003-09-25,3965.22
2003-09-26,3940.94
2003-09-29,3986.65
2003-09-30,4042.42
2003-10-01,4053.64
2003-10-02,4089.68
2003-10-03,4130.94
2003-10-06,4141.63
2003-10-07,4169.63
2003-10-08,4142.1
2003-10-09,4278.39
2003-10-10,4373.25
2003-10-13,4378.77
2003-10-14,4353.08
2003-10-15,4348.7
2003-10-16,4320.7
2003-10-17,4214.67
2003-10-20,4173.49
2003-10-21,4178.9
2003-10-22,4164.94
2003-10-23,4212.85
2003-10-24,4200.2
2003-10-27,4166.01
2003-10-28,4149.57
2003-10-29,4130.24
2003-10-30,4066.89
2003-10-31,4130.98
2003-11-03,4081.73
2003-11-04,4070.3
2003-11-05,4217.43
2003-11-06,4181.5
2003-11-07,4235.89
2003-11-10,4238.73
2003-11-11,4278.95
2003-11-12,4283.44
2003-11-13,4329.23
2003-11-14,4392.29
2003-11-17,4309.39
2003-11-18,4415.05
2003-11-19,4335.47
2003-11-20,4307.7
2003-11-21,4296.96
2003-11-24,4159.09
2003-11-25,4169.84
2003-11-26,4216.43
2003-11-27,4216.43
2003-11-28,4236.69
2003-12-01,4256.77
2003-12-02,4353.05
2003-12-03,4395.41
2003-12-04,4448.72
2003-12-05,4387.97
2003-12-08,4559.77
2003-12-09,4513.31
2003-12-10,4508.75
2003-12-11,4488.13
2003-12-12,4624.69
2003-12-15,4625.02
2003-12-16,4589.79
2003-12-17,4652.27
2003-12-18,4692.34
2003-12-19,4633.47
2003-12-22,4474.69
2003-12-23,4460.11
2003-12-24,4510.05
2003-12-25,4510.05
2003-12-26,4516.21
2003-12-29,4481.49
2003-12-30,4543.62
2003-12-31,4501.27
2004-01-01,4501.27
2004-01-02,4520.7
2004-01-05,4697.17
2004-01-06,4703.8
2004-01-07,4673.37
2004-01-08,4732.33
2004-01-09,4786.45
2004-01-12,4784.62
2004-01-13,4702.45
2004-01-14,4690.52
2004-01-15,4532.78
2004-01-16,4663.72
2004-01-19,4663.72
2004-01-20,4772.31
2004-01-21,4748.74
2004-01-22,4735.18
2004-01-23,4734.69
2004-01-26,4654.7
2004-01-27,4625.3
2004-01-28,4582.72
2004-01-29,4511.56
2004-01-30,4518.91
2004-02-02,4631.38
2004-02-03,4583.89
2004-02-04,4509.78
2004-02-05,4509.67
2004-02-06,4461.23
2004-02-09,4493.52
2004-02-10,4562.89
2004-02-11,4577.1
2004-02-12,4603.75
2004-02-13,4657.85
2004-02-16,4657.85
2004-02-17,4698.23
2004-02-18,4673.0
2004-02-19,4681.9
2004-02-20,4636.61
2004-02-23,4654.13
2004-02-24,4685.73
2004-02-25,4778.28
2004-02-26,4802.51
2004-02-27,4854.23
2004-03-01,4929.98
2004-03-02,4894.27
2004-03-03,4778.16
2004-03-04,4839.93
2004-03-05,4883.84
2004-03-08,4800.85
2004-03-09,4779.44
2004-03-10,4766.07
2004-03-11,4866.71
2004-03-12,4813.36
2004-03-15,4936.0
2004-03-16,4944.51
2004-03-17,5032.85
2004-03-18,5021.36
2004-03-19,5023.36
2004-03-22,5002.14
2004-03-23,5022.87
2004-03-24,4980.06
2004-03-25,4854.13
2004-03-26,4879.91
2004-03-29,4860.06
2004-03-30,4973.07
2004-03-31,4951.78
2004-04-01,4858.13
2004-04-02,4844.51
2004-04-05,4828.8
2004-04-06,4887.57
2004-04-07,4985.51
2004-04-08,5061.88
2004-04-09,5061.88
2004-04-12,5096.45
2004-04-13,5011.14
2004-04-14,5023.75
2004-04-15,5043.1
2004-04-16,5033.65
2004-04-19,5011.7
2004-04-20,4987.04
2004-04-21,4891.73
2004-04-22,4970.45
2004-04-23,4941.59
2004-04-26,5006.28
2004-04-27,5082.42
2004-04-28,5061.86
2004-04-29,5074.5
2004-04-30,5088.35
2004-05-03,5184.14
2004-05-04,5288.17
2004-05-05,5330.26
2004-05-06,5300.89
2004-05-07,5347.08
2004-05-10,5217.67
2004-05-11,5321.15
2004-05-12,5375.81
2004-05-13,5403.67
2004-05-14,5395.74
2004-05-17,5396.11
2004-05-18,5299.09
2004-05-19,5446.43
2004-05-20,5364.34
2004-05-21,5301.08
2004-05-24,5490.4
2004-05-25,5437.54
2004-05-26,5410.29
2004-05-27,5300.05
2004-05-28,5323.78
2004-05-31,5323.78
2004-06-01,5575.02
2004-06-02,5369.8
2004-06-03,5276.09
2004-06-04,5204.18
2004-06-07,5220.05
2004-06-08,5112.22
2004-06-09,5122.35
2004-06-10,5172.03
2004-06-11,5172.03
2004-06-14,5123.2
2004-06-15,5083.89
2004-06-16,5122.71
2004-06-17,5239.9
2004-06-18,5243.6
2004-06-21,5146.0
2004-06-22,5173.89
2004-06-23,5154.53
2004-06-24,5206.09
2004-06-25,5167.7
2004-06-28,5020.95
2004-06-29,4966.77
2004-06-30,5073.56
2004-07-01,5213.59
2004-07-02,5195.39
2004-07-05,5195.39
2004-07-06,5315.32
2004-07-07,5279.79
2004-07-08,5338.45
2004-07-09,5300.51
2004-07-12,5242.02
2004-07-13,5215.95
2004-07-14,5346.98
2004-07-15,5306.91
2004-07-16,5327.0
2004-07-19,5329.23
2004-07-20,5247.11
2004-07-21,5240.78
2004-07-22,5328.97
2004-07-23,5354.29
2004-07-26,5308.39
2004-07-27,5331.12
2004-07-28,5421.54
2004-07-29,5405.81
2004-07-30,5466.9
2004-08-02,5440.56
2004-08-03,5466.77
2004-08-04,5349.59
2004-08-05,5470.42
2004-08-06,5418.38
2004-08-09,5489.31
2004-08-10,5460.92
2004-08-11,5448.82
2004-08-12,5491.79
2004-08-13,5600.03
2004-08-16,5556.97
2004-08-17,5603.13
2004-08-18,5602.6
2004-08-19,5722.21
2004-08-20,5657.57
2004-08-23,5594.52
2004-08-24,5521.61
2004-08-25,5373.5
2004-08-26,5316.45
2004-08-27,5307.56
2004-08-30,5281.35
2004-08-31,5254.62
2004-09-01,5400.46
2004-09-02,5378.23
2004-09-03,5335.02
2004-09-06,5335.02
2004-09-07,5289.01
2004-09-08,5252.34
2004-09-09,5400.15
2004-09-10,5263.94
2004-09-13,5369.48
2004-09-14,5414.65
2004-09-15,5342.6
2004-09-16,5357.25
2004-09-17,5498.38
2004-09-20,5541.13
2004-09-21,5649.91
2004-09-22,5772.05
2004-09-23,5783.54
2004-09-24,5774.95
2004-09-27,5819.26
2004-09-28,5872.92
2004-09-29,5909.44
2004-09-30,5917.43
2004-10-01,5945.2
2004-10-04,5909.24
2004-10-05,6035.03
2004-10-06,6096.62
2004-10-07,6162.95
2004-10-08,6221.76
2004-10-11,6244.42
2004-10-12,6137.72
2004-10-13,6183.17
2004-10-14,6256.51
2004-10-15,6260.63
2004-10-18,6161.21
2004-10-19,6187.83
2004-10-20,6336.23
2004-10-21,6366.64
2004-10-22,6434.97
2004-10-25,6372.98
2004-10-26,6473.32
2004-10-27,6235.25
2004-10-28,6114.29
2004-10-29,6162.91
2004-11-01,6019.89
2004-11-02,5969.87
2004-11-03,6077.73
2004-11-04,5901.89
2004-11-05,5921.54
2004-11-08,5867.02
2004-11-09,5743.48
2004-11-10,5877.77
2004-11-11,5751.09
2004-11-12,5738.77
2004-11-15,5722.89
2004-11-16,5654.95
2004-11-17,5775.81
2004-11-18,5716.52
2004-11-19,5892.06
2004-11-22,5831.47
2004-11-23,5870.99
2004-11-24,5992.23
2004-11-25,5992.23
2004-11-26,5981.56
2004-11-29,5943.67
2004-11-30,5864.78
2004-12-01,5592.74
2004-12-02,5339.16
2004-12-03,5292.87
2004-12-06,5333.55
2004-12-07,5186.98
2004-12-08,5222.84
2004-12-09,5299.33
2004-12-10,5164.7
2004-12-13,5253.96
2004-12-14,5312.75
2004-12-15,5494.38
2004-12-16,5443.5
2004-12-17,5648.82
2004-12-20,5547.4
2004-12-21,5543.7
2004-12-22,5427.46
2004-12-23,5407.9
2004-12-24,5407.9
2004-12-27,5187.07
2004-12-28,5215.49
2004-12-29,5282.59
2004-12-30,5281.95
2004-12-31,5278.98
2005-01-03,5173.25
2005-01-04,5251.96
2005-01-05,5208.85
2005-01-06,5395.42
2005-01-07,5386.83
2005-01-10,5403.23
2005-01-11,5423.67
2005-01-12,5441.54
2005-01-13,5610.52
2005-01-14,5612.08
2005-01-17,5612.08
2005-01-18,5593.59
2005-01-19,5576.15
2005-01-20,5541.55
2005-01-21,5639.9
2005-01-24,5681.93
2005-01-25,5747.46
2005-01-26,5712.79
2005-01-27,5690.65
2005-01-28,5558.48
2005-01-31,5635.92
2005-02-01,5557.08
2005-02-02,5506.54
2005-02-03,5457.21
2005-02-04,5448.19
2005-02-07,5354.46
2005-02-08,5381.61
2005-02-09,5400.72
2005-02-10,5537.75
2005-02-11,5533.72
2005-02-14,5552.09
2005-02-15,5555.66
2005-02-16,5616.33
2005-02-17,5571.23
2005-02-18,5625.3
2005-02-21,5625.3
2005-02-22,5863.41
2005-02-23,5886.82
2005-02-24,5896.74
2005-02-25,5936.05
2005-02-28,5986.82
2005-03-01,5974.31
2005-03-02,6092.65
2005-03-03,6138.33
2005-03-04,6143.63
2005-03-07,6143.49
2005-03-08,6243.46
2005-03-09,6275.28
2005-03-10,6189.89
2005-03-11,6268.18
2005-03-14,6304.3
2005-03-15,6346.98
2005-03-16,6454.76
2005-03-17,6452.41
2005-03-18,6460.28
2005-03-21,6459.86
2005-03-22,6381.24
2005-03-23,6234.92
2005-03-24,6289.52
2005-03-25,6289.52
2005-03-28,6247.73
2005-03-29,6267.26
2005-03-30,6281.79
2005-03-31,6439.38
2005-04-01,6573.74
2005-04-04,6539.08
2005-04-05,6462.87
2005-04-06,6430.41
2005-04-07,6278.19
2005-04-08,6180.09
2005-04-11,6210.41
2005-04-12,6102.51
2005-04-13,5973.54
2005-04-14,6026.99
2005-04-15,5968.65
2005-04-18,5920.23
2005-04-19,6105.61
2005-04-20,6162.48
2005-04-21,6182.18
2005-04-22,6269.48
2005-04-25,6228.9
2005-04-26,6199.51
2005-04-27,5991.87
2005-04-28,5994.21
2005-04-29,5856.56
2005-05-02,5915.22
2005-05-03,5795.56
2005-05-04,5840.87
2005-05-05,5868.04
2005-05-06,5859.47
2005-05-09,5907.7
2005-05-10,5944.03
2005-05-11,5834.87
2005-05-12,5692.43
2005-05-13,5667.29
2005-05-16,5636.42
2005-05-17,5684.05
2005-05-18,5604.41
2005-05-19,5590.54
2005-05-20,5581.71
2005-05-23,5629.04
2005-05-24,5660.74
2005-05-25,5759.8
2005-05-26,5765.28
2005-05-27,5811.14
2005-05-30,5811.14
2005-05-31,5813.64
2005-06-01,6044.82
2005-06-02,5998.55
2005-06-03,6122.06
2005-06-06,6126.95
2005-06-07,6075.37
2005-06-08,5974.41
2005-06-09,6108.76
2005-06-10,6037.78
2005-06-13,6193.52
2005-06-14,6143.85
2005-06-15,6194.86
2005-06-16,6267.76
2005-06-17,6398.97
2005-06-20,6457.25
2005-06-21,6373.02
2005-06-22,6309.57
2005-06-23,6405.21
2005-06-24,6420.41
2005-06-27,6447.5
2005-06-28,6268.29
2005-06-29,6200.48
2005-06-30,6150.56
2005-07-01,6328.25
2005-07-04,6328.25
2005-07-05,6457.63
2005-07-06,6615.46
2005-07-07,6555.51
2005-07-08,6471.73
2005-07-11,6404.51
2005-07-12,6552.7
2005-07-13,6510.18
2005-07-14,6364.46
2005-07-15,6395.74
2005-07-18,6322.24
2005-07-19,6319.33
2005-07-20,6274.11
2005-07-21,6184.79
2005-07-22,6297.54
2005-07-25,6309.0
2005-07-26,6339.57
2005-07-27,6363.45
2005-07-28,6435.61
2005-07-29,6488.55
2005-08-01,6598.76
2005-08-02,6649.96
2005-08-03,6571.64
2005-08-04,6618.36
2005-08-05,6688.05
2005-08-08,6802.1
2005-08-09,6733.16
2005-08-10,6909.94
2005-08-11,7018.27
2005-08-12,7070.44
2005-08-15,7022.47
2005-08-16,7029.08
2005-08-17,6804.2
2005-08-18,6749.1
2005-08-19,6898.41
2005-08-22,6937.54
2005-08-23,6947.36
2005-08-24,7079.96
2005-08-25,7083.39
2005-08-26,6999.68
2005-08-29,7204.7
2005-08-30,7509.23
2005-08-31,7471.14
2005-09-01,7634.13
2005-09-02,7423.79
2005-09-05,7423.79
2005-09-06,7305.83
2005-09-07,7134.12
2005-09-08,7130.85
2005-09-09,7083.43
2005-09-12,6958.55
2005-09-13,6940.67
2005-09-14,7112.19
2005-09-15,7081.34
2005-09-16,6918.36
2005-09-19,7387.94
2005-09-20,7270.14
2005-09-21,7336.37
2005-09-22,7367.45
2005-09-23,7166.68
2005-09-26,7351.03
2005-09-27,7327.23
2005-09-28,7529.43
2005-09-29,7536.69
2005-09-30,7472.48
2005-10-03,7433.84
2005-10-04,7334.49
2005-10-05,7243.72
2005-10-06,7049.68
2005-10-07,7064.96
2005-10-10,7042.55
2005-10-11,7198.09
2005-10-12,7228.97
2005-10-13,7119.61
2005-10-14,7049.58
2005-10-17,7212.7
2005-10-18,7063.86
2005-10-19,6997.76
2005-10-20,6846.48
2005-10-21,6864.1
2005-10-24,6819.95
2005-10-25,7095.73
2005-10-26,6949.01
2005-10-27,6930.36
2005-10-28,6890.4
2005-10-31,6700.94
2005-11-01,6672.66
2005-11-02,6632.28
2005-11-03,6781.96
2005-11-04,6687.33
2005-11-07,6644.72
2005-11-08,6647.89
2005-11-09,6602.09
2005-11-10,6487.7
2005-11-11,6498.78
2005-11-14,6509.44
2005-11-15,6440.77
2005-11-16,6554.79
2005-11-17,6454.03
2005-11-18,6402.74
2005-11-21,6420.08
2005-11-22,6502.07
2005-11-23,6462.91
2005-11-24,6462.91
2005-11-25,6450.39
2005-11-28,6352.57
2005-11-29,6315.95
2005-11-30,6443.1
2005-12-01,6590.97
2005-12-02,6728.4
2005-12-05,6760.23
2005-12-06,6721.19
2005-12-07,6691.95
2005-12-08,6902.74
2005-12-09,6771.96
2005-12-12,6933.81
2005-12-13,7011.47
2005-12-14,6925.49
2005-12-15,6796.21
2005-12-16,6655.68
2005-12-19,6620.69
2005-12-20,6627.61
2005-12-21,6678.78
2005-12-22,6575.47
2005-12-23,6526.71
2005-12-26,6526.71
2005-12-27,6400.0
2005-12-28,6550.37
2005-12-29,6556.84
2005-12-30,6627.92
2006-01-02,6627.92
2006-01-03,6729.99
2006-01-04,6736.52
2006-01-05,6638.18
2006-01-06,6728.18
2006-01-09,6648.52
2006-01-10,6619.88
2006-01-11,6613.39
2006-01-12,6597.79
2006-01-13,6603.97
2006-01-16,6603.97
2006-01-17,6796.94
2006-01-18,6703.38
2006-01-19,6790.97
2006-01-20,6917.2
2006-01-23,6855.92
2006-01-24,6805.01
2006-01-25,6714.99
2006-01-26,6731.42
2006-01-27,6837.72
2006-01-30,6956.21
2006-01-31,6915.18
2006-02-01,6785.48
2006-02-02,6647.97
2006-02-03,6716.78
2006-02-06,6647.0
2006-02-07,6474.98
2006-02-08,6428.54
2006-02-09,6415.5
2006-02-10,6304.62
2006-02-13,6243.24
2006-02-14,6151.08
2006-02-15,6051.29
2006-02-16,6111.56
2006-02-17,6212.56
2006-02-20,6212.56
2006-02-21,6349.05
2006-02-22,6210.62
2006-02-23,6203.7
2006-02-24,6334.05
2006-02-27,6157.76
2006-02-28,6216.45
2006-03-01,6254.76
2006-03-02,6385.26
2006-03-03,6425.51
2006-03-06,6284.55
2006-03-07,6198.98
2006-03-08,6108.06
2006-03-09,6164.58
2006-03-10,6134.07
2006-03-13,6268.37
2006-03-14,6396.96
2006-03-15,6327.04
2006-03-16,6395.97
2006-03-17,6345.6
2006-03-20,6194.59
2006-03-21,6236.5
2006-03-22,6185.58
2006-03-23,6347.06
2006-03-24,6374.53
2006-03-27,6365.4
2006-03-28,6492.84
2006-03-29,6535.74
2006-03-30,6606.3
2006-03-31,6535.38
2006-04-03,6577.12
2006-04-04,6519.9
2006-04-05,6600.57
2006-04-06,6672.81
2006-04-07,6613.65
2006-04-10,6739.15
2006-04-11,6780.14
2006-04-12,6795.75
2006-04-13,6854.41
2006-04-14,6854.41
2006-04-17,6976.25
2006-04-18,7130.92
2006-04-19,7205.99
2006-04-20,7136.01
2006-04-21,7255.88
2006-04-24,7108.48
2006-04-25,7097.49
2006-04-26,7041.76
2006-04-27,6891.71
2006-04-28,6949.29
2006-05-01,7087.18
2006-05-02,7159.93
2006-05-03,6989.8
2006-05-04,6882.7
2006-05-05,6923.86
2006-05-08,6880.55
2006-05-09,6980.55
2006-05-10,7140.32
2006-05-11,7254.09
2006-05-12,7132.17
2006-05-15,6888.54
2006-05-16,6900.9
2006-05-17,6823.34
2006-05-18,6847.8
2006-05-19,6746.15
2006-05-22,6820.7
2006-05-23,6996.99
2006-05-24,6788.12
2006-05-25,6898.36
2006-05-26,6935.76
2006-05-29,6935.76
2006-05-30,6958.9
2006-05-31,6895.81
2006-06-01,6849.07
2006-06-02,7007.92
2006-06-05,7001.72
2006-06-06,6951.47
2006-06-07,6847.32
2006-06-08,6782.16
2006-06-09,6863.59
2006-06-12,6783.48
2006-06-13,6604.63
2006-06-14,6642.79
2006-06-15,6735.91
2006-06-16,6746.29
2006-06-19,6649.85
2006-06-20,6628.61
2006-06-21,6717.08
2006-06-22,6750.92
2006-06-23,6730.77
2006-06-26,6800.1
2006-06-27,6811.68
2006-06-28,6812.78
2006-06-29,6935.33
2006-06-30,6975.97
2006-07-03,6989.7
2006-07-04,6989.7
2006-07-05,7044.23
2006-07-06,7071.4
2006-07-07,6983.27
2006-07-10,6929.87
2006-07-11,7009.72
2006-07-12,7077.3
2006-07-13,7212.53
2006-07-14,7261.31
2006-07-17,7079.6
2006-07-18,6963.12
2006-07-19,6936.04
2006-07-20,6903.47
2006-07-21,6903.76
2006-07-24,6979.65
2006-07-25,6905.78
2006-07-26,6953.15
2006-07-27,7017.8
2006-07-28,6946.84
2006-07-31,7115.85
2006-08-01,7119.29
2006-08-02,7223.27
2006-08-03,7124.74
2006-08-04,7101.98
2006-08-07,7203.41
2006-08-08,7165.81
2006-08-09,7199.96
2006-08-10,7016.65
